# sabche layer-detection document split v2 — FROZEN
# generated: 2026-09-22
# generator: src/prepare_sabche_split.py
# seed: 123
# base: split_v3_frozen.csv assignments kept; conflicting groups -> test>val>train
# must-link: split_v3 group_id UNION sabche verbatim share >= 0.1 over >= 2 spans, or >= 10 shared spans (>= 40 chars)
# targets for new groups: 83%/8.5%/8.5% by WINDOW count (8192 / 5120)
# span source: data/processed/sabche_spans_clean.csv (dropped=False)
# TEST SPLIT IS FROZEN: evaluate test once at the end, never for tuning.
pecha_id,split,group_id,n_tokens,n_windows
P000216,train,P000216,129680,25
P000217,train,P000217,36259,7
P000218,train,I048844DB,577125,113
P000219,train,P000219,218696,43
P000224,train,P000224,524413,102
P000225,train,P000225,405811,79
P000227,train,P000227,303548,59
P000229,train,I2342D649,310280,61
P000230,train,P000230,242037,47
P000236,train,P000236,345138,67
P000237,val,P000237,99526,19
P000240,train,P000240,533578,104
P000241,train,P000241,332065,65
P000242,test,P000083,310009,60
P000245,train,P000245,289931,57
P000246,train,P000246,480666,94
P000247,test,I0FCFA88F,44079,9
P000250,train,P000250,83844,16
P000251,train,P000251,21941,4
P000252,train,P000252,21503,4
P000253,train,P000253,49310,10
P000254,train,P000254,145699,28
P000259,train,P000246,89862,17
P000263,train,P000015,518074,101
P000269,test,P000269,208821,41
P000275,val,IAE1E11E5,387904,76
